0.7428 	ERROR 	Requested audio device 'auto' that is not available on this hardware. The 'audioDevice' preference should be one of [u'Built-in Output', u'ZoomAudioD']
6.6902 	WARNING 	Unknown type in handleLineEditChange: inputFieldName=participant, type=<type 'unicode'>, value=d
6.7582 	WARNING 	Unknown type in handleLineEditChange: inputFieldName=participant, type=<type 'unicode'>, value=de
6.8621 	WARNING 	Unknown type in handleLineEditChange: inputFieldName=participant, type=<type 'unicode'>, value=dem
6.8791 	WARNING 	Unknown type in handleLineEditChange: inputFieldName=participant, type=<type 'unicode'>, value=demo
7.7459 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x112184150>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 270.0], screen=0, size=(1440, 900), stereo=False, units=u'norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.7459 	EXP 	window1: recordFrameIntervals = False
7.9124 	EXP 	window1: recordFrameIntervals = True
8.0960 	EXP 	window1: recordFrameIntervals = False
8.3342 	EXP 	Created Ready = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='LightGray', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Helvetica Bold', fontFiles=[], height=0.075, italic=False, name='Ready', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 211.,  211.,  211.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
8.4533 	EXP 	Created vend = PatchStim(autoDraw=False, autoLog=True, blendmode='avg', color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='vend', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 1.5,  2. ]), tex='vend.png', texRes=128, units=u'norm', win=Window(...))
8.4552 	EXP 	Created vend_CS = PatchStim(autoDraw=False, autoLog=True, blendmode='avg', color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='vend_CS', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 1.5,  2. ]), tex='sin', texRes=128, units=u'norm', win=Window(...))
8.4565 	EXP 	Created Outcome = PatchStim(autoDraw=False, autoLog=True, blendmode='avg', color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='Outcome', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0. , -0.4]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 0.4,  0.5]), tex='sin', texRes=128, units=u'norm', win=Window(...))
8.5099 	EXP 	Created vend = PatchStim(autoDraw=False, autoLog=True, blendmode='avg', color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='vend', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 1.5,  2. ]), tex='vend.png', texRes=128, units=u'norm', win=Window(...))
8.5114 	EXP 	Created vend_testy = PatchStim(autoDraw=False, autoLog=True, blendmode='avg', color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask=None, maskParams=None, name='vend_testy', opacity=1.0, ori=0.0, phase=array([ 0.,  0.]), pos=array([ 0.,  0.]), rgbPedestal=array([ 0.,  0.,  0.]), sf=array([ 1.,  1.]), size=array([ 1.5,  2. ]), tex='sin', texRes=128, units=u'norm', win=Window(...))
8.5310 	EXP 	Created choice_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='LightGray', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Helvetica Bold', fontFiles=[], height=0.075, italic=False, name='choice_text', opacity=1.0, ori=0, pos=array([ 0. , -0.4]), rgb=array([ 211.,  211.,  211.]), text=newstr(...), units=u'norm', win=Window(...), wrapWidth=1)
8.5356 	EXP 	Created feedback_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='LightGray', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Helvetica Bold', fontFiles=[], height=0.075, italic=False, name='feedback_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 211.,  211.,  211.]), text='default text', units=u'norm', win=Window(...), wrapWidth=1)
